Date,Close
4/14/2017,1183.44
4/15/2017,1180.699
4/16/2017,1184.787
4/17/2017,1203.731
4/18/2017,1217.596
4/19/2017,1226.939
4/20/2017,1255.403
4/21/2017,1257.135
4/22/2017,1244.375
4/23/2017,1248.2175
4/24/2017,1248.325
4/25/2017,1263.545
4/26/2017,1284.845
4/27/2017,1329.19
4/28/2017,1320.0513
4/29/2017,1327.0388
4/30/2017,1347.9588
5/1/2017,1402.0838
5/2/2017,1443.6825
5/3/2017,1491.9988
5/4/2017,1515.6288
5/5/2017,1512.2088
5/6/2017,1548.2863
5/7/2017,1555.4713
5/8/2017,1639.3225
5/9/2017,1706.9313
5/10/2017,1756.8025
5/11/2017,1807.3725
5/12/2017,1676.9938
5/13/2017,1759.9613
5/14/2017,1772.4163
