Date,Open,High,Low,Close
"2016-05-15 00:00:00",455.75,458.87,454.91,457.85
"2016-05-16 00:00:00",457.85,458.41,451.33,453.41
"2016-05-17 00:00:00",453.41,454.81,452.3,452.75
"2016-05-18 00:00:00",452.75,455.73,452.32,453.38
"2016-05-19 00:00:00",453.38,454.08,436.28,436.73
"2016-05-20 00:00:00",436.73,444.07,435.62,442.95
"2016-05-21 00:00:00",442.95,443.71,439.29,443.13
"2016-05-22 00:00:00",443.13,443.2,437.71,438.77
"2016-05-23 00:00:00",438.77,444.09,437.38,443.73
"2016-05-24 00:00:00",443.73,446.47,443.25,445.13
"2016-05-25 00:00:00",445.13,449.98,445.13,449.23
"2016-05-26 00:00:00",449.23,453.91,447.38,453.82
"2016-05-27 00:00:00",453.82,479.39,453.82,473.47
"2016-05-28 00:00:00",473.47,531.7,472.19,525.43
"2016-05-29 00:00:00",525.43,545.76,508.12,524.08
"2016-05-30 00:00:00",524.08,541.78,520.07,532.59
"2016-05-31 00:00:00",532.59,546.85,519.93,531.8
"2016-06-01 00:00:00",531.8,543.63,525.64,536.42
"2016-06-02 00:00:00",536.42,541.06,532.69,538.14
"2016-06-03 00:00:00",538.14,576.78,536.71,570.47
"2016-06-04 00:00:00",570.47,591.03,563.15,573.45
"2016-06-05 00:00:00",573.45,583.31,568.33,574.11
"2016-06-06 00:00:00",574.11,586.63,574.1,585.53
"2016-06-07 00:00:00",585.53,590.98,565.16,577.86
"2016-06-08 00:00:00",577.86,583.99,573.44,583.1
"2016-06-09 00:00:00",583.1,583.24,572.04,576.45
"2016-06-10 00:00:00",576.45,579.9,573.67,579.13
"2016-06-11 00:00:00",579.13,611.78,578.73,611.78
"2016-06-12 00:00:00",611.78,685.27,607.66,675.34
"2016-06-13 00:00:00",675.34,719.85,663.37,705.62
"2016-06-14 00:00:00",705.62,705.67,661.6,685.99
"2016-06-15 00:00:00",685.99,697.09,673.25,696.32
"2016-06-16 00:00:00",696.32,774.35,696.32,768.24
"2016-06-17 00:00:00",768.24,776.64,709.69,747.55
"2016-06-18 00:00:00",747.55,781.31,727.75,755.68
"2016-06-19 00:00:00",755.68,765.93,742.57,764.04
"2016-06-20 00:00:00",764.04,764.04,726.09,727.95
"2016-06-21 00:00:00",727.95,728.06,631.72,665.88
"2016-06-22 00:00:00",665.88,678.22,587.73,602.89
"2016-06-23 00:00:00",602.89,633.85,551.92,625.49
"2016-06-24 00:00:00",625.49,680.19,624.94,665.16
"2016-06-25 00:00:00",665.16,692.54,644.87,665.33
"2016-06-26 00:00:00",665.33,666.7,615.77,630.25
"2016-06-27 00:00:00",630.25,658.4,620.08,658.4
"2016-06-28 00:00:00",658.4,661.35,636.7,646.3
"2016-06-29 00:00:00",646.3,646.3,624.77,639.08
"2016-06-30 00:00:00",639.08,674.02,634.3,672.48
"2016-07-01 00:00:00",672.48,684.8,667.54,676.52
"2016-07-02 00:00:00",676.52,703.69,675.49,703.69
"2016-07-03 00:00:00",703.69,704.42,648.05,659.69
"2016-07-04 00:00:00",659.69,682.29,646.74,681.63
"2016-07-05 00:00:00",681.63,682.39,662.22,668.09
"2016-07-06 00:00:00",668.09,680.23,666.93,676.11
"2016-07-07 00:00:00",676.11,679.92,611.26,639.76
"2016-07-08 00:00:00",639.76,665.75,636.28,664.74
"2016-07-09 00:00:00",664.74,664.74,626.87,650.63
"2016-07-10 00:00:00",650.63,651.84,639.62,649.96
"2016-07-11 00:00:00",649.96,660.44,644.75,649.03
"2016-07-12 00:00:00",649.03,675.07,646.54,664.84
"2016-07-13 00:00:00",664.84,668.76,653.43,653.93
"2016-07-14 00:00:00",653.93,663.65,651.49,659.64
"2016-07-15 00:00:00",659.64,668.23,658.43,664.88
"2016-07-16 00:00:00",664.88,667.36,658.25,663.54
"2016-07-17 00:00:00",663.54,680.65,663.37,679.05
"2016-07-18 00:00:00",679.05,682.19,667.44,673.59
"2016-07-19 00:00:00",673.59,674.84,667.43,673.84
"2016-07-20 00:00:00",673.84,674.39,662.61,666.18
"2016-07-21 00:00:00",666.18,667.15,659.69,665.1
"2016-07-22 00:00:00",665.1,667.2,645.15,650.82
"2016-07-23 00:00:00",650.82,656.44,648.76,654.86
"2016-07-24 00:00:00",654.86,663.92,652.33,661.05
"2016-07-25 00:00:00",661.05,662.15,653.13,655.13
"2016-07-26 00:00:00",655.13,656.73,644.65,651.08
"2016-07-27 00:00:00",651.08,659.51,647.92,655.44
"2016-07-28 00:00:00",655.44,658.63,654.16,655.63
"2016-07-29 00:00:00",655.63,658.07,654.38,656.67
"2016-07-30 00:00:00",656.67,658.28,653.51,654.98
"2016-07-31 00:00:00",654.98,655.07,623.48,625.88
"2016-08-01 00:00:00",625.88,627.62,604.92,607.37
"2016-08-02 00:00:00",607.37,613.96,508.48,552.82
"2016-08-03 00:00:00",552.82,576.76,540.3,565.26
"2016-08-04 00:00:00",565.26,583.28,560.74,578.32
"2016-08-05 00:00:00",578.32,579.09,566.07,574.96
"2016-08-06 00:00:00",574.96,589.6,567.57,588.42
"2016-08-07 00:00:00",588.42,598.64,584.45,592.78
"2016-08-08 00:00:00",592.78,593.3,586.92,590.62
"2016-08-09 00:00:00",590.62,590.7,583.83,584.76
"2016-08-10 00:00:00",584.76,599.86,583.09,592.89
"2016-08-11 00:00:00",592.89,597.48,586.33,586.52
"2016-08-12 00:00:00",586.52,589.6,581.86,586.03
"2016-08-13 00:00:00",586.03,589.14,583.62,585.08
